,United Kingdom,United Arab Emirates,Turkey,Switzerland,Sweden,Spain,Slovenia,Portugal,Netherlands,Mexico,Lithuania,Kuwait,Ireland,Hungary,Germany,France,Finland,Denmark,Colombia,Chile,Bulgaria,Belgium,Austria,Saudi Arabia,Romania,Paraguay,Norway,Israel,Greece,Estonia,Czech Republic,Uruguay,Ukraine,Tunisia,Taiwan,South Korea,South Africa,Slovakia,Singapore,Puerto Rico,New Zealand,Malaysia,Latvia,Japan,Italy,Croatia,Canada,Brazil,Australia,Argentina,Lebanon,Jordan,China
,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
217,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,15045.06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12339.54,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,11961.94,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,77.72,-0.01,-0.01,-0.01,-0.01,-0.01,45652.29,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
218,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14408.84,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12349.69,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,11964.27,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,86.59,-0.01,-0.01,-0.01,-0.01,-0.01,44921.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
219,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,13924.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12353.45,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,11966.45,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,87,-0.01,-0.01,-0.01,-0.01,-0.01,44614.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
220,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14832.27,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12361.45,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,11962.22,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,88.15,-0.01,-0.01,-0.01,-0.01,-0.01,43335.79,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
221,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,15153.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12362.69,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,11977.49,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,99.72,-0.01,-0.01,-0.01,-0.01,-0.01,42274.41,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
222,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,15193.42,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12359.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12004.98,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,82.75,-0.01,-0.01,-0.01,-0.01,-0.01,42022.41,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
223,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12346.57,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12344.61,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12036.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,89.15,-0.01,-0.01,-0.01,-0.01,-0.01,41824.28,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
224,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14173.9,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12346.59,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12058.96,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,99.36,-0.01,-0.01,-0.01,-0.01,-0.01,40087.58,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
225,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14838.55,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12348.69,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12078.06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,87.06,-0.01,-0.01,-0.01,-0.01,-0.01,38164.66,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
226,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14138.88,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12358,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12082.98,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,94.29,-0.01,-0.01,-0.01,-0.01,-0.01,36385.34,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
227,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14530.37,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12394.69,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12076.13,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,101.9,-0.01,-0.01,-0.01,-0.01,-0.01,34375.97,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
228,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14413.8,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12361.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12088.9,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,96.64,-0.01,-0.01,-0.01,-0.01,-0.01,33301.46,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
229,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14355.09,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12344.45,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12104.39,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,104.79,-0.01,-0.01,-0.01,-0.01,-0.01,32756.24,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
230,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,15272.83,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12355.87,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12119.38,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,116.5,-0.01,-0.01,-0.01,-0.01,-0.01,31943.3,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
231,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,15084.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12362.29,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12121.15,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,31217.53,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
232,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,13389.92,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12364.13,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12110.57,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,30460.72,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
